epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,670.477,0.84825,0.35612,0.88197,0.99929,1,0.995,0.75747,0.99905,0.34226,0.94626,0.000676802,0.000676802,0.000676802
62,681.44,0.84618,0.35256,0.88249,0.99887,1,0.995,0.75315,0.99585,0.32534,0.95308,0.000660299,0.000660299,0.000660299
63,692.422,0.85346,0.34906,0.88604,0.99943,1,0.995,0.75114,1.02613,0.33175,0.9542,0.000643795,0.000643795,0.000643795
64,703.382,0.83502,0.34463,0.88258,0.99858,1,0.995,0.74738,1.03269,0.33369,0.95478,0.000627292,0.000627292,0.000627292
65,714.381,0.83884,0.34444,0.88965,0.99879,1,0.995,0.74871,1.0319,0.32871,0.9589,0.000610789,0.000610789,0.000610789
66,725.261,0.82282,0.33893,0.87525,0.99926,1,0.995,0.75837,0.98606,0.32555,0.94183,0.000594286,0.000594286,0.000594286
67,736.31,0.82451,0.33989,0.88435,0.99941,1,0.995,0.75948,0.97244,0.3319,0.93968,0.000577782,0.000577782,0.000577782
68,747.217,0.83089,0.34396,0.87727,0.99941,1,0.995,0.75469,0.99904,0.33203,0.94776,0.000561279,0.000561279,0.000561279
69,758.08,0.8334,0.34273,0.88382,1,1,0.995,0.76757,0.97945,0.32425,0.93983,0.000544776,0.000544776,0.000544776
70,769.158,0.82883,0.33517,0.88699,0.99876,1,0.995,0.75324,0.99806,0.32686,0.95176,0.000528272,0.000528272,0.000528272
71,780.031,0.81649,0.33658,0.87446,0.99941,1,0.995,0.75086,0.99985,0.32098,0.94847,0.000511769,0.000511769,0.000511769
72,790.937,0.80197,0.33504,0.86793,0.99939,1,0.995,0.73982,1.02392,0.32994,0.96108,0.000495266,0.000495266,0.000495266
73,801.968,0.80914,0.33099,0.87197,0.99896,1,0.995,0.76222,0.97716,0.31745,0.9353,0.000478762,0.000478762,0.000478762
74,813.008,0.81477,0.33863,0.87863,0.99934,1,0.995,0.74477,1.02529,0.33328,0.95907,0.000462259,0.000462259,0.000462259
75,823.944,0.80572,0.33272,0.87502,0.99888,1,0.995,0.7542,1.01577,0.32852,0.9582,0.000445756,0.000445756,0.000445756
76,834.868,0.79363,0.32579,0.87441,1,1,0.995,0.75283,1.01064,0.32679,0.95354,0.000429253,0.000429253,0.000429253
77,845.738,0.80125,0.32929,0.8757,0.99948,1,0.995,0.76179,1.00008,0.32962,0.94573,0.000412749,0.000412749,0.000412749
78,856.704,0.80785,0.3374,0.87138,0.99929,1,0.995,0.75479,1.01254,0.32388,0.94988,0.000396246,0.000396246,0.000396246
79,867.692,0.78268,0.32752,0.86298,0.99941,1,0.995,0.74931,1.0214,0.32594,0.95834,0.000379743,0.000379743,0.000379743
80,878.885,0.79378,0.32286,0.86544,0.99942,1,0.995,0.74718,1.02124,0.32134,0.95583,0.000363239,0.000363239,0.000363239
81,889.832,0.78011,0.321,0.86298,1,1,0.995,0.75178,1.00492,0.31495,0.95182,0.000346736,0.000346736,0.000346736
82,900.806,0.7918,0.3159,0.86486,1,1,0.995,0.7498,1.01112,0.3216,0.95642,0.000330233,0.000330233,0.000330233
83,911.771,0.7743,0.32419,0.86883,0.99926,1,0.995,0.74945,1.03526,0.33433,0.96358,0.000313729,0.000313729,0.000313729
84,922.727,0.7826,0.31842,0.86716,0.99953,1,0.995,0.75559,1.00171,0.3114,0.94939,0.000297226,0.000297226,0.000297226
85,933.722,0.76113,0.31411,0.87343,1,1,0.995,0.76159,0.9898,0.31678,0.94135,0.000280723,0.000280723,0.000280723
86,944.666,0.77673,0.31011,0.86802,1,1,0.995,0.73837,1.04116,0.32697,0.95929,0.00026422,0.00026422,0.00026422
87,955.807,0.76373,0.30983,0.8622,0.99932,1,0.995,0.75369,1.0082,0.31353,0.94941,0.000247716,0.000247716,0.000247716
88,966.749,0.7462,0.30656,0.85876,0.99929,1,0.995,0.75172,1.02635,0.31777,0.95975,0.000231213,0.000231213,0.000231213
89,977.659,0.77055,0.31355,0.86105,1,1,0.995,0.75135,1.0359,0.32227,0.9582,0.00021471,0.00021471,0.00021471
90,988.582,0.73714,0.30345,0.86027,1,1,0.995,0.7599,1.00363,0.31135,0.95211,0.000198206,0.000198206,0.000198206
91,1000.26,0.7518,0.2965,0.87685,0.99886,1,0.995,0.74575,1.01085,0.31927,0.95661,0.000181703,0.000181703,0.000181703
92,1011.25,0.74166,0.29555,0.86575,0.99894,1,0.995,0.75318,1.00104,0.31361,0.9465,0.0001652,0.0001652,0.0001652
93,1022.17,0.74001,0.29303,0.87319,0.99895,1,0.995,0.74579,1.03271,0.32079,0.96545,0.000148696,0.000148696,0.000148696
94,1033.3,0.73467,0.28427,0.87694,0.99897,1,0.995,0.7537,1.00745,0.3137,0.954,0.000132193,0.000132193,0.000132193
95,1044.3,0.71612,0.28401,0.86866,0.99952,1,0.995,0.75636,1.01203,0.31414,0.95313,0.00011569,0.00011569,0.00011569
96,1055.3,0.71368,0.28178,0.86381,0.99892,1,0.995,0.75267,1.01551,0.31667,0.95545,9.91865e-05,9.91865e-05,9.91865e-05
97,1066.23,0.71687,0.27641,0.87171,0.99956,1,0.995,0.74885,1.00833,0.31679,0.95525,8.26832e-05,8.26832e-05,8.26832e-05
98,1077.14,0.70775,0.28114,0.86564,0.99955,1,0.995,0.75211,1.00512,0.3127,0.95525,6.61799e-05,6.61799e-05,6.61799e-05
99,1088.12,0.71393,0.27609,0.8612,0.99955,1,0.995,0.74832,1.0148,0.31251,0.95933,4.96766e-05,4.96766e-05,4.96766e-05
100,1099.21,0.71185,0.27519,0.87027,0.99955,1,0.995,0.75189,1.0056,0.3152,0.95503,3.31733e-05,3.31733e-05,3.31733e-05
