epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,248.606,0.88076,0.38544,0.88269,0.99885,1,0.995,0.76086,0.98793,0.3608,0.94295,0.000676802,0.000676802,0.000676802
62,252.963,0.89271,0.38884,0.88332,0.99895,1,0.995,0.74444,0.98712,0.35665,0.94243,0.000660299,0.000660299,0.000660299
63,257.297,0.89578,0.38857,0.88619,0.9982,1,0.995,0.74471,1.01965,0.35867,0.94848,0.000643795,0.000643795,0.000643795
64,261.922,0.87134,0.38389,0.87992,0.99866,1,0.995,0.74674,1.03085,0.35925,0.94974,0.000627292,0.000627292,0.000627292
65,266.506,0.86583,0.37755,0.88942,0.99874,1,0.995,0.73878,1.01868,0.35971,0.9545,0.000610789,0.000610789,0.000610789
66,270.976,0.86779,0.37851,0.87666,0.99884,1,0.995,0.76016,0.97312,0.34058,0.94181,0.000594286,0.000594286,0.000594286
67,275.166,0.8598,0.37556,0.88359,0.99893,1,0.995,0.74537,1.00575,0.34947,0.94728,0.000577782,0.000577782,0.000577782
68,279.24,0.87029,0.3761,0.87591,0.99899,1,0.995,0.76256,0.99217,0.34326,0.94086,0.000561279,0.000561279,0.000561279
69,283.221,0.88085,0.3781,0.88498,0.99863,1,0.995,0.75808,0.98927,0.34697,0.93728,0.000544776,0.000544776,0.000544776
70,287.222,0.85754,0.36955,0.88492,0.99867,1,0.995,0.74963,1.01867,0.35142,0.95482,0.000528272,0.000528272,0.000528272
71,291.234,0.8515,0.36595,0.87442,0.99954,1,0.995,0.76538,0.99177,0.33764,0.93831,0.000511769,0.000511769,0.000511769
72,295.247,0.84169,0.36765,0.86805,0.99888,1,0.995,0.75862,0.98229,0.33765,0.94177,0.000495266,0.000495266,0.000495266
73,299.264,0.85739,0.36468,0.8744,0.99895,1,0.995,0.77431,0.95652,0.32802,0.9278,0.000478762,0.000478762,0.000478762
74,303.319,0.86863,0.36616,0.88035,0.99953,1,0.995,0.75383,1.02739,0.34821,0.95229,0.000462259,0.000462259,0.000462259
75,307.315,0.84831,0.36622,0.8754,0.99943,1,0.995,0.75129,0.99999,0.33641,0.94978,0.000445756,0.000445756,0.000445756
76,311.358,0.83493,0.35852,0.87463,1,1,0.995,0.76908,0.98227,0.34055,0.93409,0.000429253,0.000429253,0.000429253
77,315.352,0.84625,0.36302,0.87568,0.99935,1,0.995,0.76772,0.99182,0.33874,0.93835,0.000412749,0.000412749,0.000412749
78,319.418,0.85751,0.36702,0.87192,0.99894,1,0.995,0.76877,0.98044,0.34233,0.93583,0.000396246,0.000396246,0.000396246
79,323.398,0.83709,0.35615,0.86724,0.99932,1,0.995,0.75281,0.99972,0.34066,0.93889,0.000379743,0.000379743,0.000379743
80,327.38,0.84611,0.35737,0.86737,0.99945,1,0.995,0.7542,1.00365,0.33739,0.93956,0.000363239,0.000363239,0.000363239
81,331.349,0.83757,0.35452,0.86868,0.99867,1,0.995,0.76085,0.9807,0.32751,0.93836,0.000346736,0.000346736,0.000346736
82,335.341,0.84379,0.35344,0.86892,0.99876,1,0.995,0.76602,0.98504,0.32856,0.94208,0.000330233,0.000330233,0.000330233
83,339.383,0.82755,0.35477,0.87353,0.99938,1,0.995,0.765,0.98637,0.34213,0.94029,0.000313729,0.000313729,0.000313729
84,343.401,0.83017,0.34766,0.86899,0.9987,1,0.995,0.75756,0.99028,0.33305,0.94313,0.000297226,0.000297226,0.000297226
85,347.394,0.81967,0.34872,0.87749,0.99901,1,0.995,0.76387,0.97383,0.32931,0.93285,0.000280723,0.000280723,0.000280723
86,351.378,0.83048,0.3469,0.87083,0.99945,1,0.995,0.7583,0.98693,0.33225,0.94026,0.00026422,0.00026422,0.00026422
