epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,319.972,1.83329,0.69503,1.7833,0.9861,0.99851,0.99491,0.73809,2.09895,0.6217,1.91796,0.000693305,0.000693305,0.000693305
61,325.413,1.83026,0.70103,1.77507,1,0.98389,0.995,0.7458,2.09914,0.63922,1.92519,0.000676802,0.000676802,0.000676802
62,330.696,1.85186,0.68781,1.77516,0.99891,0.99909,0.995,0.742,2.04923,0.6101,1.91019,0.000660299,0.000660299,0.000660299
63,335.936,1.83514,0.67349,1.7773,0.99904,0.99941,0.995,0.7546,2.07274,0.6052,1.90867,0.000643795,0.000643795,0.000643795
64,341.178,1.83286,0.68591,1.77265,0.99118,0.99668,0.99477,0.7356,2.16665,0.63022,1.9396,0.000627292,0.000627292,0.000627292
65,346.444,1.79045,0.67986,1.78571,0.99071,1,0.995,0.73581,2.09304,0.61619,1.91387,0.000610789,0.000610789,0.000610789
66,351.911,1.79846,0.66858,1.76075,0.99881,0.99433,0.995,0.7465,2.04067,0.59983,1.90695,0.000594286,0.000594286,0.000594286
67,357.341,1.78708,0.66454,1.77728,0.99296,0.99622,0.995,0.75108,2.04542,0.59929,1.90329,0.000577782,0.000577782,0.000577782
68,362.746,1.82192,0.68654,1.76398,0.98831,1,0.99492,0.75037,2.02085,0.59845,1.8955,0.000561279,0.000561279,0.000561279
69,368.133,1.82499,0.68142,1.77929,0.97112,0.99845,0.99435,0.759,1.99274,0.59482,1.8885,0.000544776,0.000544776,0.000544776
70,373.708,1.75808,0.66118,1.77753,0.98804,1,0.995,0.73727,2.1194,0.61776,1.92923,0.000528272,0.000528272,0.000528272
71,379.276,1.80318,0.66952,1.76507,0.99904,0.99909,0.995,0.75086,2.06586,0.59752,1.91682,0.000511769,0.000511769,0.000511769
72,384.52,1.77073,0.65435,1.74959,0.99898,0.9978,0.995,0.75576,2.04961,0.60061,1.90019,0.000495266,0.000495266,0.000495266
73,389.951,1.782,0.64067,1.75957,0.99723,1,0.995,0.76154,1.99126,0.56784,1.88233,0.000478762,0.000478762,0.000478762
74,395.542,1.79959,0.66241,1.77201,0.98826,1,0.99491,0.74561,2.0957,0.61409,1.91283,0.000462259,0.000462259,0.000462259
75,400.875,1.77447,0.65228,1.76498,0.99684,1,0.995,0.74914,2.10266,0.58983,1.92384,0.000445756,0.000445756,0.000445756
76,406.24,1.74968,0.64135,1.76132,0.99975,0.99614,0.995,0.75307,2.06061,0.5847,1.90338,0.000429253,0.000429253,0.000429253
77,411.532,1.76338,0.65075,1.76498,0.9983,0.99705,0.995,0.7442,2.04047,0.59789,1.91053,0.000412749,0.000412749,0.000412749
78,416.815,1.79935,0.65917,1.75875,0.99128,0.99586,0.99432,0.74253,2.09583,0.61891,1.91019,0.000396246,0.000396246,0.000396246
79,422.081,1.75028,0.65578,1.7413,0.99934,0.99204,0.995,0.74923,2.03943,0.59638,1.90115,0.000379743,0.000379743,0.000379743
80,427.309,1.7652,0.63704,1.74444,0.99506,0.99933,0.995,0.74532,2.06501,0.58109,1.89963,0.000363239,0.000363239,0.000363239
81,432.779,1.74521,0.63475,1.74557,0.99602,0.99877,0.995,0.74732,2.05954,0.58074,1.90909,0.000346736,0.000346736,0.000346736
82,438.155,1.73927,0.62873,1.7421,0.99773,0.998,0.995,0.74544,2.04747,0.57984,1.90424,0.000330233,0.000330233,0.000330233
83,443.611,1.72868,0.63061,1.75556,0.99768,0.99325,0.995,0.7446,2.06147,0.58661,1.90578,0.000313729,0.000313729,0.000313729
84,448.941,1.74305,0.63292,1.75035,0.99313,0.99787,0.995,0.75214,2.02259,0.57638,1.89877,0.000297226,0.000297226,0.000297226
85,454.249,1.72633,0.63919,1.76823,0.99881,0.98617,0.995,0.7549,2.00424,0.58541,1.88162,0.000280723,0.000280723,0.000280723
86,459.621,1.72792,0.61914,1.75126,0.99838,0.99231,0.99492,0.74422,2.08636,0.58514,1.91789,0.00026422,0.00026422,0.00026422
87,465.051,1.70404,0.61913,1.745,0.99672,1,0.995,0.74105,2.05358,0.57239,1.91151,0.000247716,0.000247716,0.000247716
88,470.444,1.69539,0.59757,1.73723,0.99866,0.99128,0.99492,0.74115,2.07231,0.58692,1.92385,0.000231213,0.000231213,0.000231213
89,475.783,1.73407,0.61787,1.74224,0.99712,0.98828,0.99491,0.7544,2.06735,0.58493,1.90993,0.00021471,0.00021471,0.00021471
90,481.094,1.69192,0.60905,1.73974,0.99903,0.98269,0.99483,0.75772,2.00338,0.57537,1.89332,0.000198206,0.000198206,0.000198206
91,487.352,1.68142,0.58109,1.7772,0.99539,1,0.995,0.75192,2.02301,0.57873,1.90036,0.000181703,0.000181703,0.000181703
92,492.621,1.67023,0.57401,1.76091,0.98925,0.99747,0.9947,0.744,2.04089,0.59372,1.91056,0.0001652,0.0001652,0.0001652
93,497.815,1.66416,0.54747,1.77163,0.98293,0.99885,0.99439,0.73869,2.08545,0.60412,1.92615,0.000148696,0.000148696,0.000148696
94,503.079,1.64949,0.54533,1.78074,0.97319,1,0.99391,0.75346,2.03796,0.59813,1.90608,0.000132193,0.000132193,0.000132193
95,508.407,1.64954,0.56626,1.76879,0.99201,0.99937,0.9947,0.74576,2.05627,0.58238,1.91353,0.00011569,0.00011569,0.00011569
96,513.743,1.64717,0.55507,1.76313,0.98744,0.99892,0.99364,0.74477,2.05496,0.59623,1.91285,9.91865e-05,9.91865e-05,9.91865e-05
97,518.98,1.60777,0.52992,1.76966,0.98927,0.99137,0.99447,0.7494,2.05188,0.58323,1.9054,8.26832e-05,8.26832e-05,8.26832e-05
98,524.329,1.62395,0.53772,1.76279,0.98964,1,0.9947,0.75561,2.02115,0.57617,1.89747,6.61799e-05,6.61799e-05,6.61799e-05
99,529.526,1.63125,0.52941,1.75184,0.99055,0.99525,0.9947,0.74455,2.06835,0.59049,1.92146,4.96766e-05,4.96766e-05,4.96766e-05
100,534.712,1.63362,0.53459,1.77106,0.98933,0.99888,0.9947,0.75167,2.04764,0.57642,1.90973,3.31733e-05,3.31733e-05,3.31733e-05
