epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,615.163,1.76789,0.65373,1.75942,0.99664,0.99963,0.995,0.75428,2.01941,0.57953,1.90026,0.0009161,0.0009161,0.0009161
93,621.884,1.76318,0.64821,1.76746,0.98873,1,0.99491,0.73258,2.12245,0.60984,1.92791,0.000907848,0.000907848,0.000907848
94,628.69,1.74867,0.62259,1.76131,0.99023,0.99271,0.995,0.73517,2.08779,0.60726,1.93934,0.000899597,0.000899597,0.000899597
95,635.372,1.71716,0.61961,1.75219,0.99863,0.99602,0.995,0.74094,2.03788,0.60553,1.92307,0.000891345,0.000891345,0.000891345
96,642.054,1.77072,0.63914,1.7662,0.99163,1,0.9947,0.75809,1.99616,0.57414,1.90373,0.000883093,0.000883093,0.000883093
97,648.716,1.76697,0.64518,1.77206,0.99552,0.99912,0.995,0.74382,2.06765,0.58895,1.90974,0.000874842,0.000874842,0.000874842
98,655.438,1.78639,0.64682,1.7785,0.98544,1,0.99491,0.75839,1.9535,0.57376,1.88627,0.00086659,0.00086659,0.00086659
99,662.258,1.75962,0.63381,1.77858,0.99656,0.99994,0.995,0.73836,2.0944,0.58558,1.92996,0.000858338,0.000858338,0.000858338
100,668.939,1.73847,0.62091,1.77316,0.99762,0.99903,0.995,0.75554,2.01438,0.57791,1.90629,0.000850087,0.000850087,0.000850087
101,675.609,1.6949,0.602,1.74899,0.99529,1,0.995,0.74852,2.04715,0.57795,1.91476,0.000841835,0.000841835,0.000841835
102,682.295,1.73368,0.61396,1.754,0.98833,1,0.99491,0.7603,1.97735,0.57289,1.89012,0.000833583,0.000833583,0.000833583
103,689.094,1.71492,0.61101,1.7456,0.9987,0.99982,0.995,0.75146,1.98556,0.56609,1.88105,0.000825332,0.000825332,0.000825332
104,695.777,1.72818,0.61358,1.76195,0.98952,0.99539,0.99491,0.75803,1.96404,0.57473,1.88952,0.00081708,0.00081708,0.00081708
