epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,464.271,1.78503,0.64353,1.77992,1,0.98588,0.995,0.76241,1.99552,0.58907,1.89705,0.000544776,0.000544776,0.000544776
70,470.908,1.73788,0.62072,1.77511,1,0.98734,0.99491,0.75014,2.04507,0.58209,1.92025,0.000528272,0.000528272,0.000528272
71,477.548,1.74164,0.62531,1.76163,0.99376,0.9889,0.995,0.76169,1.97962,0.57379,1.89346,0.000511769,0.000511769,0.000511769
72,484.366,1.72818,0.60997,1.74866,0.98426,0.99889,0.99453,0.75651,1.99847,0.58441,1.89898,0.000495266,0.000495266,0.000495266
73,491.012,1.74595,0.60918,1.76117,0.98589,0.99853,0.99472,0.76758,1.95423,0.56548,1.88188,0.000478762,0.000478762,0.000478762
74,497.79,1.78158,0.622,1.77611,0.99612,1,0.995,0.74703,2.06896,0.58342,1.91603,0.000462259,0.000462259,0.000462259
75,504.457,1.72566,0.60941,1.76565,0.99911,0.99985,0.995,0.74328,2.08202,0.59088,1.9289,0.000445756,0.000445756,0.000445756
76,511.129,1.72959,0.60718,1.76223,0.9924,0.99706,0.99492,0.76211,2.00493,0.58939,1.89774,0.000429253,0.000429253,0.000429253
77,518.039,1.74142,0.61911,1.76882,0.99833,1,0.995,0.75137,2.01033,0.56316,1.91107,0.000412749,0.000412749,0.000412749
78,524.829,1.75437,0.60917,1.76162,0.99416,0.99929,0.995,0.74815,1.98984,0.56833,1.8966,0.000396246,0.000396246,0.000396246
79,531.621,1.70073,0.60135,1.73977,0.9948,0.99038,0.99491,0.75786,1.99653,0.56929,1.89543,0.000379743,0.000379743,0.000379743
80,538.448,1.71204,0.59029,1.74064,0.99861,0.99972,0.995,0.73626,2.03276,0.56638,1.90266,0.000363239,0.000363239,0.000363239
81,545.203,1.68268,0.59169,1.74134,1,0.97988,0.99481,0.74294,2.00323,0.5793,1.89655,0.000346736,0.000346736,0.000346736
82,552.091,1.71744,0.58215,1.74555,0.99553,1,0.995,0.74656,1.99266,0.56246,1.90122,0.000330233,0.000330233,0.000330233
83,558.771,1.68525,0.5926,1.75437,0.99739,1,0.995,0.74725,1.97732,0.55399,1.89775,0.000313729,0.000313729,0.000313729
84,565.491,1.69694,0.59662,1.7491,1,0.99965,0.995,0.7445,1.97453,0.55881,1.89262,0.000297226,0.000297226,0.000297226
